L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
1024,16320.0,34,3442,16367.2,120,47.2,0,1320.0,0
1024,16800.0,35,3452,16833.14,120,33.14,0,1800.0,0
1024,17280.0,36,3464,17327.23,120,47.23,0,2280.0,0
1024,17760.0,37,3479,17828.36,120,68.36,0,2760.0,0
1024,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
1024,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
1024,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
1024,15360.0,32,3419,15400.14,240,40.14,0,240.0,0
1024,15840.0,33,3430,15880.15,240,40.15,0,720.0,0
1024,16320.0,34,3442,16367.2,240,47.2,0,1200.0,0
1024,16800.0,35,3452,16833.14,240,33.14,0,1680.0,0
1024,17280.0,36,3464,17327.23,240,47.23,0,2160.0,0
1024,17760.0,37,3479,17828.36,240,68.36,0,2640.0,0
1024,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
1024,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
1024,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
1024,15360.0,32,3419,15400.14,360,40.14,0,120.0,0
1024,15840.0,33,3430,15880.15,360,40.15,0,600.0,0
1024,16320.0,34,3442,16367.2,360,47.2,0,1080.0,0
1024,16800.0,35,3452,16833.14,360,33.14,0,1560.0,0
1024,17280.0,36,3464,17327.23,360,47.23,0,2040.0,0
1024,17760.0,37,3479,17828.36,360,68.36,0,2520.0,0
1024,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
1024,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
1024,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
1024,15360.0,32,3419,15464.78,470,104.78,0,10.0,0
1024,15840.0,33,3430,15880.15,470,40.15,0,490.0,0
1024,16320.0,34,3442,16367.2,470,47.2,0,970.0,0
1024,16800.0,35,3452,16833.14,470,33.14,0,1450.0,0
1024,17280.0,36,3464,17327.23,470,47.23,0,1930.0,0
1024,17760.0,37,3479,17828.36,470,68.36,0,2410.0,0
2048,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
2048,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
2048,14880.0,31,2384,14905.42,5,25.42,0,-5.0,0
2048,15360.0,32,4443,15401.41,5,41.41,0,475.0,0
2048,15840.0,33,4454,15881.43,5,41.43,0,955.0,0
2048,16320.0,34,4466,16368.67,5,48.67,0,1435.0,0
2048,16800.0,35,4476,16834.24,5,34.24,0,1915.0,0
2048,17280.0,36,4488,17328.71,5,48.71,0,2395.0,0
2048,17760.0,37,4503,17830.42,5,70.42,0,2875.0,0
2048,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
2048,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
2048,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
2048,15360.0,32,4443,15401.41,120,41.41,0,360.0,0
